Education,Marital_Status,Income,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases,Age,day_engaged,cluster
0,0,58138.0,0,1617,1,25,64,997,2
0,0,46344.0,2,27,0,6,67,151,1
0,1,71613.0,0,776,0,21,56,498,2
0,1,26646.0,1,53,0,8,37,91,1
0,1,58293.0,1,422,0,19,40,347,1
0,1,62513.0,1,716,0,22,54,479,2
0,0,55635.0,1,590,0,21,50,779,2
0,1,33454.0,1,169,0,10,36,514,1
0,1,30351.0,1,46,1,6,47,574,1
0,1,5648.0,2,49,1,2,71,294,1
0,1,52247.25135379061,1,19,0,4,38,412,1
1,1,7500.0,0,61,0,6,45,779,3
0,0,63033.0,0,1102,0,16,62,412,2
0,0,59354.0,2,310,0,15,69,412,1
0,1,17323.0,0,46,0,5,34,813,1
0,0,82800.0,0,1315,3,26,75,768,2
0,1,41850.0,2,96,0,9,41,738,1
0,1,37760.0,0,317,0,13,75,853,1
0,1,76995.0,1,1782,1,26,72,644,2
0,0,33812.0,1,133,0,8,36,1026,1
0,1,37040.0,0,316,0,12,39,876,1
0,1,2447.0,1,1730,0,43,42,579,2
0,1,58607.0,1,972,1,17,72,739,2
0,1,65324.0,1,544,0,20,67,61,2
0,1,40689.0,1,444,0,20,70,654,1
0,0,18589.0,0,75,0,8,52,699,1
0,1,53359.0,2,257,0,14,45,584,1
0,0,52247.25135379061,1,637,0,27,35,680,2
0,1,38360.0,1,131,0,9,32,580,1
0,1,84618.0,0,1672,1,26,56,405,2
0,0,10979.0,0,30,0,8,32,224,1
0,1,38620.0,0,318,0,11,58,422,1
0,1,40548.0,1,120,1,9,51,813,1
0,0,46610.0,2,302,1,17,69,794,1
0,1,68657.0,0,1196,0,18,75,680,2
0,0,49389.0,2,65,0,6,70,490,1
0,1,67353.0,1,913,0,28,51,366,2
0,1,23718.0,1,81,0,9,45,691,1
0,0,42429.0,1,67,0,7,48,60,1
0,0,48948.0,0,902,2,24,78,729,2
0,1,80011.0,1,1395,0,21,41,612,2
0,1,20559.0,1,53,0,7,36,394,1
0,1,21994.0,1,22,0,4,64,738,1
0,0,52247.25135379061,0,186,0,9,62,600,1
0,1,7500.0,1,31,0,8,46,690,1
0,0,79941.0,0,984,0,16,45,187,2
0,1,7500.0,0,122,1,10,25,842,1
0,1,41728.0,1,55,0,5,53,587,1
0,0,52247.25135379061,3,124,0,10,70,365,1
0,1,72550.0,2,1319,0,28,67,873,2
0,0,65486.0,1,507,0,17,64,27,1
0,1,79143.0,0,1693,0,29,57,784,2
0,0,35790.0,1,72,0,7,44,699,1
0,0,82582.0,0,1617,3,21,44,179,2
0,1,66373.0,2,606,0,23,43,391,1
0,1,82384.0,0,1957,2,27,66,773,2
0,0,70287.0,0,1093,1,21,55,696,2
0,0,27938.0,1,29,0,6,33,248,1
0,0,52247.25135379061,1,46,0,7,39,563,1
0,1,55954.0,1,518,0,19,53,304,1
0,0,75777.0,0,1438,3,21,39,634,2
0,1,66653.0,2,612,0,22,46,906,2
0,0,61823.0,1,884,0,24,69,682,2
0,0,67680.0,1,606,0,19,70,421,2
0,1,70666.0,0,1076,0,16,73,568,2
0,1,25721.0,1,34,1,5,50,590,1
0,1,32474.0,2,11,0,4,54,57,1
0,0,88194.0,1,1274,3,32,42,288,2
0,1,69096.0,1,653,0,18,63,461,2
0,1,74854.0,3,1562,0,19,51,515,2
0,1,66991.0,0,1253,0,21,67,783,2
0,1,52247.25135379061,1,109,0,9,48,839,1
0,1,65031.0,1,863,0,30,62,655,2
0,1,60631.0,2,661,1,24,46,607,2
0,1,28332.0,0,65,0,8,69,246,1
0,0,40246.0,1,13,0,4,44,743,1
